Name,Short Name,Unit Number,Bus Location in WECC240 Model,Bus in full WECC model,Category,Area,State,Maximum Capacity (MW),Heat Rate (MMBtu/MWh),Variable O&M ($/MWh),MaxCap Profile,Minimum Capacity (%),Maint Req (Hrs),Forced Outage Rate (%),Alternate Name,,
ElCentro2,ElCentro,2,IMPERIAL 20 {2130},21028_ELSTM 2,Steam Small Old,IID,California,35,10.61,5.001,2.7% Summer Deration,30,336,4.49,El Centro 2  El Centro CA,,
ElCentro3,ElCentro,3,IMPERIAL 20 {2130},21029_ELSTM 3,Steam Small Old,IID,California,44,10.61,5.001,2.7% Summer Deration,30,336,4.49,El Centro 3  El Centro CA,,
ElCentro4,ElCentro,4,IMPERIAL 20 {2130},21030_ELSTM 4,Steam Small Recent,IID,California,80,10.66,5.001,2.7% Summer Deration,19,336,4.49,El Centro 4  El Centro CA,,
ElCentro2A,ElCentro,20,IMPERIAL 20 {2130},21031_ELSTM2-2,CC Recent,IID,California,95,7.15,2,6.9% Summer Deration,68,504,7.15,El Centro 2A  El Centro CA,,
Rockwod1,Rockwod1,1,IMPERIAL 20 {2130},21062_ROCKWOD1,CT Old Gas,IID,California,32,12.47,8.001,12% Summer Deration,30,168,3.74,,,
Rockwod2,Rockwod2,1,IMPERIAL 20 {2130},21063_ROCKWOD2,CT Old Oil,IID,California,32,12.47,8.001,12% Summer Deration,30,168,3.74,,,
YuccaGT,YuccaGT,1,PALOVRD2  20 {1431},21073_YUCCGT21,CT Old Gas,IID,Arizona,21,12.47,8.001,12% Summer Deration,30,168,3.74,,,
Haynes1,Haynes1,1,HAYNES3G 20 {2630},26026_HAYNES1G,Steam Large Recent,LDWP,California,222,9.88,3.001,2.7% Summer Deration,17,672,8.51,,,
Haynes2,Haynes2,1,HAYNES3G 20 {2630},26027_HAYNES2G,Steam Large Recent,LDWP,California,222,9.58,3.001,2.7% Summer Deration,17,672,8.51,,,
Scattrgd3,Scattrgd,3,HAYNES3G 20 {2630},26067_SCATT3G,Steam Large Recent,LDWP,California,445,9.13,3.001,2.7% Summer Deration,17,672,8.17,,,http://www.swrcb.ca.gov/water_issues/programs/npdes/docs/cooling/ch7o.pdf (State Water Resources Ccontrol Board)has 9.276
VALLEY,VALLEY,1,HAYNES3G 20 {2630},26102_VALLEY,CC Frame F,LDWP,California,242,7.15,2,6.9% Summer Deration,62,504,7.15,,,
VALLEY2,VALLEY2,1,HAYNES3G 20 {2630},26102_VALLEY,CC Frame F,LDWP,California,242,7.15,2,6.9% Summer Deration,62,504,7.15,,,
Scattrgd2,Scattrgd,2,HAYNES3G 20 {2630},26106_SCATT2G,Steam Large Old,LDWP,California,179,9.48,5.001,2.7% Summer Deration,8,672,9.14,,,http://www.swrcb.ca.gov/water_issues/programs/npdes/docs/cooling/ch7o.pdf (State Water Resources Ccontrol Board)has 9.564
Harbor10B,Harbor10,3,HAYNES3G 20 {2630},26111_HARB2G,CC Recent,LDWP,California,228,7.15,2,6.9% Summer Deration,36,504,7.15,,,
Scattrgd1,Scattrgd,1,HAYNES3G 20 {2630},26112_SCATT1G,Steam Large Old,LDWP,California,179,9.38,5.001,2.7% Summer Deration,8,672,9.14,,,http://www.swrcb.ca.gov/water_issues/programs/npdes/docs/cooling/ch7o.pdf (State Water Resources Ccontrol Board)has 9.459
VllyLM61,VllyLM61,1,HAYNES3G 20 {2630},26142_VALLEY5G,CT Small,LDWP,California,47.5,9.38,5.001,12% Summer Deration,45,168,3.74,,,10.45 heat rate in london Economics data
HarbrLCT10,HarbrLCT,1,HAYNES3G 20 {2630},26143_HARBCT10,CT Small,LDWP,California,47.5,9.38,5.001,12% Summer Deration,45,168,3.74,,,10.45 heat rate in london Economics data
HarbrLM61,HarbrLM6,1,HAYNES3G 20 {2630},26144_HARBCT11,CT Small,LDWP,California,47.5,9.38,5.001,12% Summer Deration,45,168,3.74,,,10.45 heat rate in london Economics data
HarbrLM62,HarbrLM6,2,HAYNES3G 20 {2630},26145_HARBCT12,CT Small,LDWP,California,47.5,9.38,5.001,12% Summer Deration,45,168,3.74,,,10.45 heat rate in london Economics data
HarbrLM63,HarbrLM6,3,HAYNES3G 20 {2630},26146_HARBCT13,CT Small,LDWP,California,47.5,9.38,5.001,12% Summer Deration,45,168,3.74,,,10.45 heat rate in london Economics data
HarbrLM64,HarbrLM6,4,HAYNES3G 20 {2630},26147_HARBCT14,CT Small,LDWP,California,47.5,9.38,5.001,12% Summer Deration,45,168,3.74,,,10.45 heat rate in london Economics data
ValleyGT6,ValleyGT,6,HAYNES3G 20 {2630},26148_VALLEY6G,CT Old Gas,LDWP,California,165,12.47,8.001,12% Summer Deration,30,336,4.08,,,
ValleyST8,ValleyST,1,HAYNES3G 20 {2630},26150_VALLEY8G,CC Frame F,LDWP,California,430,7.55,2,6.9% Summer Deration,38,504,7.15,,,
Haynes10,Haynes10,1,HAYNES3G 20 {2630},26153_HAYNS10G,CC Frame F,LDWP,California,585,7.33,2,6.9% Summer Deration,28,504,7.15,,,
HAYNS13G_1,HAYNS13G,1,HAYNES3G 20 {2630},26156_HAYNES13,CC Frame F,LDWP,California,555,7.15,2,6.9% Summer Deration,31,504,7.15,,,
MagnST,MagnST,1,OLIVE    20 {2631},27250_MAG_ST,CC Frame F,LDWP,California,328,7.71,2,6.9% Summer Deration,57,504,7.15,,,
Olive1,Olive1,1,OLIVE    20 {2631},27253_OLIVE#1,Steam Small Old,LDWP,California,44,10.89,5.001,2.7% Summer Deration,30,336,4.49,,,
Olive2,Olive2,1,OLIVE    20 {2631},27254_OLIVE#2,Steam Small Recent,LDWP,California,55,10.17,5.001,2.7% Summer Deration,19,336,4.49,,,
Grayson3,Grayson3,3,HAYNES3G 20 {2630},27346_GRAYS_3,Steam Small Old,LDWP,California,18,10.61,5.001,2.7% Summer Deration,30,336,4.49,,,
Grayson4,Grayson4,4,HAYNES3G 20 {2630},27348_GRAYS_4,Steam Small Old,LDWP,California,42,11.23,5.001,2.7% Summer Deration,30,336,4.49,,,
Grayson5,Grayson5,5,HAYNES3G 20 {2630},27350_GRAYS_5,Steam Small Recent,LDWP,California,45,10.51,5.001,2.7% Summer Deration,19,336,4.49,,,
Grayson8A,Grayson8,1,HAYNES3G 20 {2630},27356_GRAY_8A,CC Old,LDWP,California,105,7.15,5.001,6.9% Summer Deration,67,504,7.15,,,Glendale city council minutes (http://www.ci.glendale.ca.us/government/agenda_minutes/100M200804071.pdf) say Grayson has peaker to cycling heat rate
Grayson9,Grayson9,9,HAYNES3G 20 {2630},27359_GRAYS_9,CT Small,LDWP,California,70,11.79,5.001,12% Summer Deration,45,336,4.08,,,
WdlndCC1,WdlndCC1,1,RNCHSECO 20 {8034},32156_WOODLAND,CC Frame F,SMUD,California,105,7.64,2,6.9% Summer Deration,76,504,7.15,,,
SPACCST,SPACCST,1,RNCHSECO 20 {8034},37304_CAMPBEL2,CC Recent,SMUD,California,157,7.15,2,6.9% Summer Deration,67,504,7.15,,,
McCllln1,McCllln1,1,RNCHSECO 20 {8034},37309_MCCLELLN,CT Large,SMUD,California,74,11.79,5.001,12% Summer Deration,60,336,4.08,,,
Prctr&Gm3,Prctr&Gm,3,RNCHSECO 20 {8034},37312_PROCTER3,CC Frame F,SMUD,California,123,7.15,2,6.9% Summer Deration,33,504,7.15,,,
Prct&GMpk,Prct&GMp,1,RNCHSECO 20 {8034},37313_PROCTER4,CT Small,SMUD,California,43,9.38,5.001,12% Summer Deration,45,168,3.74,,,
Carson2,Carson2,2,RNCHSECO 20 {8034},37315_SRWTPA,CC Recent,SMUD,California,96,7.15,2,6.9% Summer Deration,43,504,7.15,Carson Ice CG 2,,
UCMDSmud1,UCMDSmud,1,RNCHSECO 20 {8034},37320_UCDMC,CT Old Gas,SMUD,California,27,12.47,8.001,12% Summer Deration,30,168,3.74,,,
Cosumnes3,Cosumnes,3,RNCHSECO 20 {8034},37323_COSUMNE3,CC Frame F,SMUD,California,670,7.15,2,6.9% Summer Deration,37,504,7.15,Cosumnes combined cycle 3 (SMUD),,
Sutter3,Sutter3,3,RNCHSECO 20 {8034},37523_SUTTER3,CC Frame F,SMUD,California,525,7.29,2,6.9% Summer Deration,33,504,7.15,,,
Ripon1,Ripon1,1,RNCHSECO 20 {8034},38351_RIPN_1,CT Small,SMUD,California,50,9.38,5.001,12% Summer Deration,45,336,4.08,,,
McClure1,McClure1,1,RNCHSECO 20 {8034},38352_MCCLURE1,CT Old Gas,SMUD,California,62,12.47,8.001,12% Summer Deration,30,336,4.08,,,
Ripon2,Ripon2,1,RNCHSECO 20 {8034},38353_RIPN_2,CT Small,SMUD,California,50,9.38,5.001,12% Summer Deration,45,336,4.08,,,
McClure2,McClure2,1,RNCHSECO 20 {8034},38354_MCCLURE2,CT Old Gas,SMUD,California,62,12.47,8.001,12% Summer Deration,30,336,4.08,,,
WdlndMd1,WdlndMd1,1,RNCHSECO 20 {8034},38356_WOODLMID,CT Small,SMUD,California,49,12.47,5.001,12% Summer Deration,45,168,3.74,,,
WdlndMd2,WdlndMd2,1,RNCHSECO 20 {8034},38357_WOODMID2,CC Frame F,SMUD,California,80,7.51,2,6.9% Summer Deration,30,360,5.5,,,
Walnut,Walnut,1,RNCHSECO 20 {8034},38480_WALNUT,CC Frame F,TIDC,California,229,7.15,2,6.9% Summer Deration,74,504,7.15,,,
Almond1,Almond1,1,RNCHSECO 20 {8034},38564_ALMONDCT,CC Recent,TIDC,California,50,7.15,2,6.9% Summer Deration,70,504,7.15,Almond Power Plant 1  Ceres CA,,
CowlitzST,CowlitzS,1,WCASCADE 20 {4232},40309_COWL CCP,Other Steam,BPA,Washington,131,12.12,5.001,2.7% Summer Deration,30,912,7.1,Cowlitz Falls ST  Cowlitz R WA,,
EncogenL,EncogenL,1,NORTH G3  20 {4231},42014_ENSERCHL,CC Recent,PSE,Washington,173,7.15,2,6.9% Summer Deration,22,504,7.15,Encogen L  Bellingham WA,,
SumasL,SumasL,1,NORTH G3  20 {4231},42022_SUMAS L,CC Recent,PSE,Washington,132,7.15,2,6.9% Summer Deration,63,504,7.15,,,
TnskFrnL,TnskFrnL,1,NORTH G3  20 {4231},42033_TENASKAL,CC Recent,PSE,Washington,266,7.15,2,6.9% Summer Deration,31,504,7.15,,,
Whithrn1,Whithrn1,2,NORTH G3  20 {4231},42042_WHITHRN2,CT Old Oil,PSE,Washington,74.4,12.47,8.001,12% Summer Deration,30,336,4.08,,,
Whithrn3,Whithrn3,3,NORTH G3  20 {4231},42043_WHITHRN3,CT Old Gas,PSE,Washington,74.4,12.47,8.001,12% Summer Deration,30,336,4.08,,,
Fredonia1,Fredonia,1,NORTH G3  20 {4231},42111_FREDONA1,CT Old Gas,PSE,Washington,104,12.47,8.001,12% Summer Deration,30,336,4.08,Fredonia 1  Burlington WA,,
Fredonia2,Fredonia,2,NORTH G3  20 {4231},42112_FREDONA2,CT Old Gas,PSE,Washington,104,12.47,8.001,12% Summer Deration,30,336,4.08,Fredonia 2  Burlington WA,,
Fredonia3,Fredonia,3,NORTH G3  20 {4231},42114_FREDONA3,CT Small,PSE,Washington,50,9.38,5.001,12% Summer Deration,45,336,4.08,Fredonia 3  Burlington WA,,
Fredonia4,Fredonia,4,NORTH G3  20 {4231},42115_FREDONA4,CT Small,PSE,Washington,50,9.38,5.001,12% Summer Deration,45,336,4.08,Fredonia 4  Burlington WA,,
MarchPntL,MarchPnt,4,NORTH G3  20 {4231},42134_MRPTGENL,CC Old,PSE,Washington,140,7.15,5.001,6.9% Summer Deration,27,504,7.15,,,
Fredrck1,Fredrck1,1,NORTH G3  20 {4231},42721_FREDERC1,CT Old Gas,PSE,Washington,74.4,12.47,8.001,12% Summer Deration,30,336,4.08,Frederickson 1  Tacoma WA,,
Fredrck2,Fredrck2,2,NORTH G3  20 {4231},42722_FREDERC2,CT Old Gas,PSE,Washington,74.4,12.47,8.001,12% Summer Deration,30,336,4.08,Frederickson 2  Tacoma WA,,
BEAVER_1,BEAVER_1,1,WCASCADE 20 {4232},43017_BEAVER,CC Old,PGN,Oregon,519,7.15,5.001,6.9% Summer Deration,12,504,7.15,Beaver 1  Clatskanie OR,,
CytSpgsA,CytSpgsA,1,JOHN DAY  20 {4035},43119_COYO S1,CC Recent,PGN,Oregon,250,7.15,2,6.9% Summer Deration,68,504,7.15,Coyote Springs CC1A  Boardman OR,,
PGECovanta,PGECovan,1,WCASCADE 20 {4232},43377_COVANTA,Other Steam,PGN,Oregon,15.39,12.12,5.001,2.7% Summer Deration,30,912,7.1,,,
Biomass,Biomass,1,WCASCADE 20 {4232},45026_BIOMASS,Other Steam,PACW,Oregon,24,12.12,5.001,2.7% Summer Deration,30,912,7.1,Biomass QF,,
FtJames1,FtJames1,1,WCASCADE 20 {4232},45297_TROUTDAL,Other Steam,PACW,Washington,37,12.12,5.001,2.7% Summer Deration,30,912,7.1,Ft  James Cogen 1  Camus WA,,
KlmthStm,KlmthStm,1,MALIN    20 {4031},45447_KFALL ST,CC Frame F,PACW,Oregon,190,7.15,2,6.9% Summer Deration,63,504,7.15,,,
KlmthCgn,KlmthCgn,1,MALIN    20 {4031},45448_KFALLCT1,CC Frame F,PACW,Oregon,175,7.15,2,6.9% Summer Deration,69,504,7.15,,,
Hermstn1B,Hermstn1,2,JOHN DAY  20 {4035},45455_HERM 1S,CC Frame F,PACW,Oregon,86,7.51,2,6.9% Summer Deration,30,360,5.5,,,
Hermstn2B,Hermstn2,2,JOHN DAY  20 {4035},45457_HERM 2S,CC Frame F,PACW,Oregon,86,7.51,2,6.9% Summer Deration,30,360,5.5,,,
Vine,Vine,1,WCASCADE 20 {4232},45517_VINE,Other Steam,PACW,Oregon,40,12.12,5.001,2.7% Summer Deration,30,912,7.1,,,
Everett,Everett,1,NORTH G3  20 {4231},45850_KIMCLK L,Other Steam,BPA,Washington,47,12.12,5.001,2.7% Summer Deration,30,912,7.1,Everett Cogen,,
Wycnrgy1,Wycnrgy1,1,WCASCADE 20 {4232},46266_WEYCO 3,CT Old Gas,BPA,Oregon,12.2,12.47,8.001,12% Summer Deration,30,168,5.52,,,
Wycnrgy2,Wycnrgy2,1,WCASCADE 20 {4232},46268_WEYCO 4,CT Old Gas,BPA,Oregon,35,12.47,8.001,12% Summer Deration,30,168,3.74,,,
RvrRdCC1,RvrRdCC1,1,JOHN DAY  20 {4035},47216_RVR RD C,CC Frame F,BPA,Washington,260,7.15,2,6.9% Summer Deration,65,504,7.15,,,
Wauna2,Wauna2,2,WCASCADE 20 {4232},47290_WAUNA,CC Recent,BPA,Oregon,35,7.15,2,6.9% Summer Deration,69,504,7.15,,,
Finley,Finley,1,DALLES21  20 {4039},47311_FINLEY G,CT Small,BPA,Washington,30,9.79,5.001,12% Summer Deration,45,168,3.74,Finley,,
FredrckST,FredrckS,1,NORTH G3  20 {4231},47576_FREDST S,CC Frame F,BPA,Washington,270,7.53,2,6.9% Summer Deration,63,504,7.15,Frederickson Power 1 - ST,,
ChhlsGn3,ChhlsGn3,1,WCASCADE 20 {4232},47590_CHEH S1,CC Frame F,BPA,Washington,640,7.15,2,6.9% Summer Deration,31,504,7.15,Chehalis Generation Facility 3,,
HermstGT2,HermstGT,2,JOHN DAY  20 {4035},47640_HPP G2,CC Frame F,BPA,Oregon,434,7.15,2,6.9% Summer Deration,43,504,7.15,,,
HermstST1,HermstST,1,JOHN DAY  20 {4035},47641_HPP S1,CC Frame F,BPA,Oregon,750,7.46,2,6.9% Summer Deration,24,504,7.15,,,
MorrwPwr,MorrwPwr,1,MALIN    20 {4031},47658_MORRO G1,CT Small,BPA,Oregon,24.79,9.79,5.001,12% Summer Deration,45,168,3.74,,,
KlamGT1,KlamGT1,1,MALIN    20 {4031},47660_KLAM ADD,CT Small,PACW,Oregon,50,9.38,5.001,12% Summer Deration,45,336,4.08,,,
KlamGT2,KlamGT2,2,MALIN    20 {4031},47660_KLAM ADD,CT Small,PACW,Oregon,50,9.38,5.001,12% Summer Deration,45,336,4.08,,,
GEPST1,GEPST1,1,DALLES21  20 {4039},47688_GEC S1,CC Frame F,BPA,Washington,303,7.3,2,6.9% Summer Deration,64,504,7.15,Goldendale Energy Project ST,,
BigHanafrdST,BigHanaf,5,WCASCADE 20 {4232},47737_BHP 70,CC Frame F,BPA,Washington,260,7.15,2,6.9% Summer Deration,17,504,7.15,Big Hanaford ST  Centralia,,
Northeast1,Northeas,1,HANFORD  20 {4132},48275_NORTHEAS,CT Old Gas,AVA,Washington,68,12.47,8.001,12% Summer Deration,30,336,4.08,,,
RathdrmA1,RathdrmA,1,HANFORD  20 {4132},48359_RATHGEN1,CC Frame F,AVA,Idaho,105,7.37,2,6.9% Summer Deration,71,504,7.15,,,
Rathdrm1,Rathdrm1,1,HANFORD  20 {4132},48359_RATHGEN1,CT Large,AVA,Idaho,105,11.4,5.001,12% Summer Deration,60,336,4.08,,,
RathdrmA2,RathdrmA,2,HANFORD  20 {4132},48361_RATHGEN2,CC Frame F,AVA,Idaho,105,7.37,2,6.9% Summer Deration,71,504,7.15,,,
Rathdrm2,Rathdrm2,1,HANFORD  20 {4132},48361_RATHGEN2,CT Large,AVA,Idaho,105,11.4,5.001,12% Summer Deration,60,336,4.08,,,
SpknMSW1,SpknMSW1,1,HANFORD  20 {4132},48407_SPKWASTE,Other Steam,AVA,Washington,23,12.12,5.001,2.7% Summer Deration,30,912,7.1,,,
Potlatch3,Potlatch,3,HANFORD  20 {4132},48482_CWGEN3,Other Steam,AVA,Idaho,33.29,12.12,5.001,2.7% Summer Deration,30,912,7.1,,,
Potlatch4,Potlatch,4,HANFORD  20 {4132},48483_CWGEN4,Other Steam,AVA,Idaho,50,12.12,5.001,2.7% Summer Deration,30,912,7.1,,,
CytSpgsST2,CytSpgsS,1,JOHN DAY  20 {4035},48518_COYO S2,CC Frame F,AVA,Oregon,250,7.15,2,6.9% Summer Deration,68,504,7.15,Coyote Springs Steam 2,,
BoulderPk,BoulderP,1,HANFORD  20 {4132},48526_BOULDERG,IC,AVA,Washington,24,10.12,13.25,2.7% Summer Deration,8,912,3.6,AVA - Boulder Park  Spokane,,
Powell1,Powell1,1,CANAD G1 20 {5031},50011_POW132,CT Old Gas,BCTC,British Columbia,120,12.47,8.001,12% Summer Deration,30,336,4.08,,,
Walden1,Walden1,1,CANAD G1 20 {5031},50181_WDN 66,CT Old Gas,BCTC,British Columbia,17.89,12.47,8.001,12% Summer Deration,30,168,5.52,,,
SooRiver1,SooRiver,1,CANAD G1 20 {5031},50293_SOR IPP,CT Old Gas,BCTC,British Columbia,12,12.47,8.001,12% Summer Deration,30,168,5.52,,,
RuprtGT1,RuprtGT1,1,CANAD G1 20 {5031},50435_RPG G1,CT Old Gas,BCTC,British Columbia,33,12.47,8.001,12% Summer Deration,30,168,3.74,,,
RuprtGT2,RuprtGT2,1,CANAD G1 20 {5031},50436_RPG G2,CT Old Gas,BCTC,British Columbia,33,12.47,8.001,12% Summer Deration,30,168,3.74,,,
WstCstn1,WstCstn1,1,CANAD G1 20 {5031},50511_MCM1IPP,CT Small,BCTC,British Columbia,69,11.79,5.001,12% Summer Deration,45,336,4.08,,,
WstCstn2,WstCstn2,1,CANAD G1 20 {5031},50512_MCM2IPP,CT Small,BCTC,British Columbia,69,11.79,5.001,12% Summer Deration,45,336,4.08,,,
Alkokolex,Alkokole,1,CANAD G1 20 {5031},50918_AKO IPP,CT Old Gas,BCTC,British Columbia,10,12.47,8.001,12% Summer Deration,30,168,5.52,Alkokolex IPP  South Interior East  BC,,
BrrrdTh1,BrrrdTh1,1,CMAIN GM 20 {5032},50975_BGS G1,Steam Large Recent,BCTC,British Columbia,150,9.79,3.001,2.7% Summer Deration,17,672,9.14,Burrard Thermal 1  Ioco BC,,
BrrrdTh2,BrrrdTh2,1,CMAIN GM 20 {5032},50976_BGS G2,Steam Large Recent,BCTC,British Columbia,150,9.79,3.001,2.7% Summer Deration,17,672,9.14,Burrard Thermal 2  Ioco BC,,
BrrrdTh3,BrrrdTh3,1,CMAIN GM 20 {5032},50977_BGS G3,Steam Large Recent,BCTC,British Columbia,150,9.79,3.001,2.7% Summer Deration,17,672,9.14,Burrard Thermal 3  Ioco BC,,
BrrrdTh4,BrrrdTh4,1,CMAIN GM 20 {5032},50978_BGS G4,Steam Large Recent,BCTC,British Columbia,150,9.79,3.001,2.7% Summer Deration,17,672,9.14,Burrard Thermal 4  Ioco BC,,
BrrrdTh5,BrrrdTh5,1,CMAIN GM 20 {5032},50979_BGS G5,Steam Large Recent,BCTC,British Columbia,152,9.79,3.001,2.7% Summer Deration,17,672,9.14,Burrard Thermal 5  Ioco BC,,
BrrrdTh6,BrrrdTh6,1,CMAIN GM 20 {5032},50980_BGS G6,Steam Large Recent,BCTC,British Columbia,152,9.79,3.001,2.7% Summer Deration,17,672,9.14,Burrard Thermal 6  Ioco BC,,
Crestbrook,Crestbro,1,CANAD G1 20 {5031},51037_CRS 13,CT Old Gas,BCTC,British Columbia,50,12.47,8.001,12% Summer Deration,30,336,4.08,Crestbrook Forest Co-Gen  South Interior East  BC,,
IslndCgn,IslndCgn,1,CANAD G1 20 {5031},51039_ICG IPP,CC Frame F,BCTC,British Columbia,240,7.15,2,6.9% Summer Deration,71,504,7.15,,,
ElkFallsMill,ElkFalls,1,CANAD G1 20 {5031},51049_EFM T104,CT Old Gas,BCTC,British Columbia,28,12.47,8.001,12% Summer Deration,30,168,3.74,Elk Falls Mill Co-Gen  Central Vancouver Island  B,,
MillerCrk,MillerCr,1,CANAD G1 20 {5031},51054_MCP IPP,CT Old Gas,BCTC,British Columbia,32,12.47,8.001,12% Summer Deration,30,168,3.74,,,
Riverside,Riversid,1,CANAD G1 20 {5031},51104_RVG G1,CT Old Gas,BCTC,British Columbia,21,12.47,8.001,12% Summer Deration,30,168,3.74,,,
Weldwood1,Weldwd1,1,CMAIN GM 20 {5032},54014_WESGEN 9,Steam Small Recent,AESO,Alberta,19,10.44,5.001,2.7% Summer Deration,19,912,7.1,,,
Weldwood2,Weldwd2,1,CMAIN GM 20 {5032},54014_WESGEN 9,Steam Small Recent,AESO,Alberta,29,10.44,5.001,2.7% Summer Deration,19,912,7.1,,,
WstlckD1,WstlckD1,1,CMAIN GM 20 {5032},54014_WESGEN 9,Other Steam,AESO,Alberta,16.9,12.12,5.001,2.7% Summer Deration,30,912,7.1,,,
DowChmcl2,DowChmcl,2,CMAIN GM 20 {5032},54054_DOW GEN2,CC Recent,AESO,Alberta,110,7.15,2,6.9% Summer Deration,64,504,7.15,Dow Chemical 2  Ft Saskatchewan,,
Drayton,Drayton,1,CMAIN GM 20 {5032},54332_DVPL IA9,Other Steam,AESO,Alberta,11.6,12.12,5.001,2.7% Summer Deration,30,912,7.1,Drayton Valley IPP  AB,,
WhtcrtP1,WhtcrtP1,1,CMAIN GM 20 {5032},54408_WHITEGE9,Other Steam,AESO,Alberta,33,12.12,5.001,2.7% Summer Deration,30,912,7.1,,,
DowChmcl1,DowChmcl,1,CMAIN GM 20 {5032},54454_DOW GEN1,CC Recent,AESO,Alberta,110,7.15,2,6.9% Summer Deration,64,504,7.15,Dow Chemical 1  Ft Saskatchewan,,
AUR_GTG2,AUR_GTG2,2,CMAIN GM 20 {5032},54514_CLOVERB4,GTC,AESO,Alberta,26,3.95,21,5% Summer Deration,48,360,3.6,AUR_GTG2,,
SYNC_UE4,SYNC_UE4,4,CMAIN GM 20 {5032},54514_CLOVERB4,GTC,AESO,Alberta,7,3.95,21,5% Summer Deration,48,360,3.6,,,
SYNC_UE5,SYNC_UE5,5,CMAIN GM 20 {5032},54514_CLOVERB4,GTC,AESO,Alberta,15,3.95,21,5% Summer Deration,48,360,3.6,,,
AirLiqd1,AirLiqd1,1,CMAIN GM 20 {5032},54627_AIR LIQC,CC Recent,AESO,Alberta,89,7.15,2,6.9% Summer Deration,56,504,7.15,Air Liquide 1  Scotford AB,,
MedcnHt10,MedcnHt1,10,CMAIN GM 20 {5032},54683_CMH7&10R,CT Small,AESO,Alberta,28.19,9.79,5.001,12% Summer Deration,45,168,3.74,,,
MedcnHt7,MedcnHt7,7,CMAIN GM 20 {5032},54683_CMH7&10R,CT Old Gas,AESO,Alberta,29.9,12.47,8.001,12% Summer Deration,30,168,3.74,,,
MedcnHt12,MedcnHt1,12,CMAIN GM 20 {5032},54686_CMH 12 9,Steam Small Recent,AESO,Alberta,39.79,10.61,5.001,2.7% Summer Deration,19,336,4.49,,,
MedcnHt11,MedcnHt1,11,CMAIN GM 20 {5032},54687_CMH 11R9,CT Small,AESO,Alberta,27.9,9.79,5.001,12% Summer Deration,45,168,3.74,,,
MedcnHt8,MedcnHt8,8,CMAIN GM 20 {5032},54688_CMH 8  9,CT Old Gas,AESO,Alberta,44.9,12.47,8.001,12% Summer Deration,30,168,3.74,,,
MedcnHt9,MedcnHt9,9,CMAIN GM 20 {5032},54689_CMH 9  9,CT Old Gas,AESO,Alberta,44.9,12.47,8.001,12% Summer Deration,30,168,3.74,,,
Sturgeon1,Sturgn1,1,CMAIN GM 20 {5032},54691_LTH241S1,CT Small,AESO,Alberta,10,11.25,5.001,12% Summer Deration,45,360,3.6,,,
Sturgeon2,Sturgn2,1,CMAIN GM 20 {5032},54691_LTH241S1,CT Small,AESO,Alberta,8,11.25,5.001,12% Summer Deration,45,360,3.6,,,
MedcnHt5,MedcnHt5,5,CMAIN GM 20 {5032},54700_MEDICIN8,CT Old Gas,AESO,Alberta,15.39,12.47,8.001,12% Summer Deration,30,168,5.52,,,
MedcnHt3,MedcnHt3,3,CMAIN GM 20 {5032},54712_CMH 3R 9,Steam Small Recent,AESO,Alberta,37.79,10.61,5.001,2.7% Summer Deration,19,336,4.49,,,
FrtNelsn1,FrtNelsn,1,CMAIN GM 20 {5032},55015_FORT NE9,CT Small,AESO,Alberta,49,9.38,5.001,12% Summer Deration,45,168,3.74,Fort Nelson 1  AB,,
Rainbw1,Rainbw1,1,CMAIN GM 20 {5032},55031_RBW 1,CT Old Gas,AESO,Alberta,30,12.47,8.001,12% Summer Deration,30,168,3.74,,,
Rainbw2,Rainbw2,2,CMAIN GM 20 {5032},55032_RBW 2,CT Old Gas,AESO,Alberta,40,12.47,8.001,12% Summer Deration,30,168,3.74,,,
Rainbw3,Rainbw3,3,CMAIN GM 20 {5032},55033_RBW 3,CT Old Gas,AESO,Alberta,20,12.47,8.001,12% Summer Deration,30,168,3.74,,,
Rainbw4,Rainbw4,4,CMAIN GM 20 {5032},55035_RBW 4,CT Small,AESO,Alberta,45,9.38,5.001,12% Summer Deration,45,168,3.74,,,
Rainbw56,Rainbw56,5,CMAIN GM 20 {5032},55037_RBW5,CT Small,AESO,Alberta,45,9.38,5.001,12% Summer Deration,45,168,3.74,,,
Sturg3VV,Sturg3VV,1,CMAIN GM 20 {5032},55171_VALLEYVI,CT Small,AESO,Alberta,45,9.38,5.001,12% Summer Deration,45,168,3.74,,,
ValleyView1,VlyView1,1,CMAIN GM 20 {5032},55171_VALLEYVI,CT Small,AESO,Alberta,45,11.25,5.001,12% Summer Deration,45,360,3.6,,,
BearCrk1,BearCrk1,1,CMAIN GM 20 {5032},56142_BEARCK2,CC Frame F,AESO,Alberta,86,7.15,2,6.9% Summer Deration,60,504,7.15,Bear Creek (Grande Prairie) 1,,
Foster Creek2,Foster C,2,CMAIN GM 20 {5032},56302_FCG2,CT Small,AESO,Alberta,45,9.38,5.001,12% Summer Deration,45,168,3.74,Foster Creek 1  Cold Lake  AB,,
JoffrCgnP,JoffrCgn,3,CMAIN GM 20 {5032},56357_NOVA ST1,CC Frame F,AESO,Alberta,485,7.15,2,6.9% Summer Deration,35,504,7.15,,,
ScotfordST,SctfrdST,2,CMAIN GM 20 {5032},56885_SCOTF ST,CC Frame F,AESO,Alberta,184,7.15,2,6.9% Summer Deration,51,504,7.15,,,
