Name,Short Name,Unit Number,Bus Location in WECC240 Model,Bus in full WECC model,Category,Area,State,Maximum Capacity (MW),Heat Rate (MMBtu/MWh),Variable O&M ($/MWh),MaxCap Profile,Minimum Capacity (%),Maint Req (Hrs),Forced Outage Rate (%),Alternate Name,,
SaguarAZ3,SaguarAZ,3,PALOVRD2  20 {1431},14945_SAG. CT3,CT Large,APS,Arizona,80,11.79,5.001,12% Summer Deration,60,336,4.08,,,
WstPhnxST1,WstPhnxS,1,PALOVRD2  20 {1431},14950_WPCC4ST1,Steam Small Recent,APS,Arizona,42,10.61,5.001,2.7% Summer Deration,19,336,4.49,,,
WstPhnxCC1,WstPhnxC,1,PALOVRD2  20 {1431},14951_WPHX CC1,CC Old,APS,Arizona,85,7.15,5.001,6.9% Summer Deration,53,504,7.15,,,
WstPhnxCC2,WstPhnxC,2,PALOVRD2  20 {1431},14952_WPHX CC2,CC Old,APS,Arizona,85,7.15,5.001,6.9% Summer Deration,53,504,7.15,,,
WstPhnxCC3,WstPhnxC,3,PALOVRD2  20 {1431},14953_WPHX CC3,CC Old,APS,Arizona,85,7.15,5.001,6.9% Summer Deration,53,504,7.15,,,
WstPhnxGT1,WstPhnxG,1,PALOVRD2  20 {1431},14954_WPHX GT1,CT Small,APS,Arizona,56.2,9.38,5.001,12% Summer Deration,45,336,4.08,,,
WstPhnxGT2,WstPhnxG,2,PALOVRD2  20 {1431},14957_WPHX GT2,CT Small,APS,Arizona,56.2,9.38,5.001,12% Summer Deration,45,336,4.08,,,
WstPhnxCC4,WstPhnxC,4,PALOVRD2  20 {1431},14958_WPCC4CT1,CC Recent,APS,Arizona,85,7.15,2,6.9% Summer Deration,53,504,7.15,,,
YuccaCT1,YuccaCT1,1,PALOVRD2  20 {1431},14961_YUCCACT1,CT Old Gas,APS,Arizona,19.1,12.47,8.001,12% Summer Deration,30,168,5.52,,,
YuccaCT2,YuccaCT2,1,PALOVRD2  20 {1431},14962_YUCCACT2,CT Old Gas,APS,Arizona,19.1,12.47,8.001,12% Summer Deration,30,168,5.52,,,
YuccaCT3,YuccaCT3,1,PALOVRD2  20 {1431},14963_YUCCACT3,CT Old Gas,APS,Arizona,55,12.47,8.001,12% Summer Deration,30,336,4.08,,,
YuccaCT4,YuccaCT4,1,PALOVRD2  20 {1431},14964_YUCCACT4,CT Old Oil,APS,Arizona,55,12.47,8.001,12% Summer Deration,30,336,4.08,,,
YuccaST,YuccaST,1,PALOVRD2  20 {1431},14965_YUCCAGEN,Steam Small Old,APS,Arizona,75,10.61,5.001,2.7% Summer Deration,30,336,4.49,,,
WstPhnxCC5,WstPhnxC,5,PALOVRD2  20 {1431},14968_WPCC5ST1,CC Frame F,APS,Arizona,530,7.15,2,6.9% Summer Deration,32,504,7.15,,,
RedhwkST1,RedhwkST,1,PALOVRD2  20 {1431},14982_RED-ST1,CC Frame F,APS,Arizona,472,7.24,2,6.9% Summer Deration,32,504,7.15,,,
RedhwkST2,RedhwkST,2,PALOVRD2  20 {1431},14983_RED-ST2,CC Frame F,APS,Arizona,472,7.24,2,6.9% Summer Deration,32,504,7.15,,,
SundncGT1,SundncGT,1,HOOVER   20 {1331},14990_SUN G1,CT Small,APS,Arizona,58.7,9.38,5.001,12% Summer Deration,45,336,4.08,,,
SundncGT2,SundncGT,2,HOOVER   20 {1331},14991_SUN G2,CT Small,APS,Arizona,58.7,9.38,5.001,12% Summer Deration,45,336,4.08,,,
SundncGT3,SundncGT,3,HOOVER   20 {1331},14992_SUN G3,CT Small,APS,Arizona,58.7,9.38,5.001,12% Summer Deration,45,336,4.08,,,
SundncGT4,SundncGT,4,HOOVER   20 {1331},14993_SUN G4,CT Small,APS,Arizona,58.7,9.38,5.001,12% Summer Deration,45,336,4.08,,,
SundncGT5,SundncGT,5,HOOVER   20 {1331},14994_SUN G5,CT Small,APS,Arizona,58.7,9.38,5.001,12% Summer Deration,45,336,4.08,,,
SundncGT6,SundncGT,6,HOOVER   20 {1331},14995_SUN G6,CT Small,APS,Arizona,58.7,9.38,5.001,12% Summer Deration,45,336,4.08,,,
