trial,num_generators,step_size,gradient_scale,max_iter,success,min_train_loss,min_test_loss,min_train_grad,batch_size,test_batch_size,train_size,test_size,pmax_increase
1,1,1.0,1.0,1,true,1.0,1.0,1.0,1,1,1,1,1.0
2,3,1.0,1.0,500,true,1.2538682058598567,1.3803536354253299,34.33913525959478,8,8,50,1,100.0
3,1,1.0,1.0,500,true,0.08981890379187485,0.07406209976663426,4.191625204060457,8,8,50,1,100.0
4,2,2.0,1.0,500,true,0.7525407218025137,0.5994896305059587,3.011046356379633,8,8,50,1,100.0
5,2,1.0,1.0,500,true,0.38708172196853724,0.33809262655630906,12.286883097426703,8,8,50,1,100.0
6,2,0.5,1.0,500,true,0.5072610687992278,0.47763180824680695,17.950343616508658,8,8,10,1,100.0
7,1,1.0,1.0,200,true,0.10488709510679099,0.12185518228492062,5.175383332030189,8,8,10,5,100.0
